Date,Order ID,Customer ID,Product Category,Product Name,Region,Units Sold,Unit Price,Payment Mode,Delivery Status
2024-04-07,OID10001,CID8002,Books,Notebook,South,2,405,COD,Cancelled
2024-08-08,OID10002,CID8020,Home Appliances,Microwave,South,4,513,Debit Card,Delivered
2024-11-13,OID10003,CID7520,Clothing,Jacket,North,5,931,Debit Card,In Transit
2024-09-26,OID10004,CID5425,Books,Notebook,West,2,213,Debit Card,Delivered
2024-07-10,OID10005,CID9086,Electronics,Tablet,West,2,48922,COD,Delivered
2025-01-14,OID10006,CID9868,Clothing,Jacket,South,1,1335,Debit Card,Returned
2025-05-17,OID10007,CID5324,Grocery,Snacks,South,3,523,UPI,In Transit
2025-05-07,OID10008,CID6945,Electronics,Headphones,South,2,6911,UPI,Cancelled
2025-01-23,OID10009,CID5785,Home Appliances,Mixer,East,1,1327,Net Banking,Delivered
2024-02-19,OID10010,CID9518,Clothing,Jacket,East,3,1386,Debit Card,In Transit
2024-09-25,OID10011,CID8636,Footwear,Sandals,West,2,533,UPI,In Transit
2025-05-27,OID10012,CID9622,Books,Novel,North,1,1352,Credit Card,Returned
2025-03-24,OID10013,CID9754,Clothing,Saree,West,1,756,Credit Card,In Transit
2025-01-28,OID10014,CID9034,Footwear,Shoes,West,4,881,Net Banking,Delivered
2024-07-23,OID10015,CID5475,Grocery,Rice,South,1,1192,UPI,Returned
2024-12-24,OID10016,CID8531,Footwear,Slippers,South,1,1009,Debit Card,Returned
2025-03-21,OID10017,CID8313,Footwear,Shoes,South,1,565,Net Banking,In Transit
2024-12-15,OID10018,CID8938,Footwear,Shoes,West,5,236,Debit Card,Cancelled
2025-03-26,OID10019,CID7819,Books,Notebook,East,4,542,Credit Card,Cancelled
2024-11-22,OID10020,CID8459,Grocery,Milk,North,3,1720,Net Banking,Delivered
2024-05-25,OID10021,CID7997,Clothing,Jeans,West,1,957,Net Banking,Returned
2024-01-28,OID10022,CID7147,Clothing,Kurta,West,3,281,COD,In Transit
2024-04-16,OID10023,CID6109,Footwear,Slippers,South,2,1250,Net Banking,Cancelled
2024-08-30,OID10024,CID8570,Electronics,Smartwatch,East,1,27120,Debit Card,Delivered
2024-03-10,OID10025,CID7443,Home Appliances,Washing Machine,West,5,806,Credit Card,Delivered
2025-04-27,OID10026,CID8963,Books,Novel,North,1,1629,Net Banking,Returned
2024-01-04,OID10027,CID5349,Home Appliances,Refrigerator,North,5,1448,UPI,Delivered
2024-11-03,OID10028,CID7195,Home Appliances,Mixer,West,3,870,Debit Card,Delivered
2025-03-20,OID10029,CID9836,Grocery,Milk,South,4,1043,Debit Card,Cancelled
2024-01-04,OID10030,CID9684,Home Appliances,Washing Machine,North,5,994,UPI,Delivered
2024-12-09,OID10031,CID7045,Home Appliances,Microwave,South,5,1636,Debit Card,Delivered
2024-10-17,OID10032,CID7923,Home Appliances,Microwave,North,3,1713,Debit Card,Returned
2024-12-20,OID10033,CID7339,Grocery,Snacks,East,1,1457,Net Banking,In Transit
2024-01-26,OID10034,CID6515,Electronics,Mobile,North,2,21394,COD,In Transit
2024-07-29,OID10035,CID5785,Grocery,Milk,South,5,1496,COD,Delivered
2025-01-20,OID10036,CID7159,Electronics,Tablet,East,2,33399,Credit Card,In Transit
2024-04-09,OID10037,CID6613,Grocery,Rice,West,4,881,Debit Card,Cancelled
2024-10-02,OID10038,CID6720,Grocery,Rice,North,4,1482,COD,Delivered
2024-07-01,OID10039,CID6832,Books,Novel,North,3,1732,Net Banking,Returned
2024-01-15,OID10040,CID9737,Home Appliances,Washing Machine,East,5,1166,Credit Card,Cancelled
2024-04-07,OID10041,CID7731,Clothing,Kurta,South,1,814,Net Banking,Cancelled
2024-09-04,OID10042,CID7038,Electronics,Laptop,East,5,9196,UPI,Delivered
2025-04-19,OID10043,CID6514,Books,Notebook,North,3,535,Net Banking,Returned
2025-06-19,OID10044,CID8088,Footwear,Sandals,East,3,1794,Net Banking,Cancelled
2025-04-25,OID10045,CID7887,Grocery,Wheat,East,5,1307,Net Banking,Delivered
2024-07-23,OID10046,CID9114,Home Appliances,Mixer,South,3,832,UPI,In Transit
2025-02-04,OID10047,CID9534,Home Appliances,Refrigerator,West,3,610,UPI,Returned
2025-02-15,OID10048,CID9115,Books,Textbook,South,2,1867,UPI,Cancelled
2024-01-02,OID10049,CID8167,Footwear,Shoes,East,3,711,Credit Card,Returned
2024-02-20,OID10050,CID7116,Clothing,Jacket,North,5,1930,COD,Returned
2024-01-27,OID10051,CID5132,Grocery,Snacks,East,1,1224,Debit Card,Delivered
2024-11-02,OID10052,CID7340,Electronics,Tablet,East,2,21386,Debit Card,Cancelled
2025-06-11,OID10053,CID8218,Clothing,Kurta,East,3,107,Net Banking,Cancelled
2025-02-15,OID10054,CID7410,Books,Textbook,North,1,744,UPI,Returned
2025-05-16,OID10055,CID9297,Clothing,Kurta,West,5,1395,Debit Card,Returned
2025-03-13,OID10056,CID6023,Home Appliances,Refrigerator,East,2,128,COD,In Transit
2025-05-31,OID10057,CID6161,Clothing,Kurta,North,5,938,Net Banking,In Transit
2024-01-05,OID10058,CID5770,Electronics,Tablet,East,4,19203,Credit Card,Returned
2024-02-11,OID10059,CID6543,Grocery,Snacks,North,2,898,Credit Card,In Transit
2024-09-23,OID10060,CID9056,Electronics,Headphones,North,4,19159,Net Banking,Returned
2025-05-31,OID10061,CID6427,Home Appliances,Washing Machine,North,4,1350,Net Banking,In Transit
2025-03-07,OID10062,CID7224,Clothing,Kurta,West,1,322,Net Banking,In Transit
2025-03-24,OID10063,CID8078,Books,Notebook,West,5,351,Net Banking,Cancelled
2025-06-11,OID10064,CID8895,Clothing,T-shirt,East,5,1729,Net Banking,Delivered
2024-12-15,OID10065,CID6834,Books,Notebook,South,1,944,Credit Card,Returned
2024-09-24,OID10066,CID5349,Grocery,Snacks,West,4,1637,COD,Returned
2024-01-30,OID10067,CID7776,Footwear,Shoes,South,5,443,Net Banking,Cancelled
2025-05-23,OID10068,CID9662,Grocery,Wheat,South,3,1535,Net Banking,Cancelled
2025-06-14,OID10069,CID9807,Electronics,Laptop,West,2,17933,COD,Returned
2024-01-23,OID10070,CID8175,Books,Textbook,South,2,1758,Debit Card,Returned
2024-07-16,OID10071,CID8027,Electronics,Mobile,South,5,8172,Credit Card,Cancelled
2025-01-07,OID10072,CID8065,Clothing,Saree,South,5,1784,UPI,Returned
2024-05-08,OID10073,CID9986,Footwear,Sandals,North,4,869,Net Banking,Delivered
2024-09-23,OID10074,CID9749,Home Appliances,Microwave,West,1,589,COD,In Transit
2024-11-25,OID10075,CID5970,Electronics,Smartwatch,East,5,18287,Debit Card,Delivered
2024-04-02,OID10076,CID6217,Grocery,Wheat,North,5,571,COD,In Transit
2025-02-16,OID10077,CID9858,Footwear,Sandals,West,5,1477,COD,Returned
2024-01-15,OID10078,CID8435,Home Appliances,Refrigerator,West,4,899,COD,Cancelled
2025-03-14,OID10079,CID9799,Footwear,Slippers,East,3,763,UPI,Returned
2024-05-28,OID10080,CID5858,Books,Magazine,North,2,1483,Debit Card,Returned
2024-05-04,OID10081,CID8432,Footwear,Shoes,North,4,1511,Debit Card,Cancelled
2025-05-12,OID10082,CID8334,Electronics,Smartwatch,East,2,23343,Credit Card,In Transit
2025-01-02,OID10083,CID9395,Books,Novel,East,4,1104,Debit Card,Returned
2024-03-13,OID10084,CID7306,Electronics,Smartwatch,East,5,43110,UPI,Returned
2024-07-06,OID10085,CID5175,Footwear,Shoes,East,1,1683,Credit Card,In Transit
2024-07-20,OID10086,CID6224,Home Appliances,Washing Machine,East,4,1595,Credit Card,Cancelled
2024-02-18,OID10087,CID6618,Electronics,Headphones,North,3,24129,COD,Delivered
2024-01-17,OID10088,CID9558,Clothing,Kurta,East,4,1186,COD,Returned
2024-04-14,OID10089,CID5419,Books,Magazine,East,3,294,Net Banking,Returned
2024-04-06,OID10090,CID8807,Books,Notebook,East,1,1507,Credit Card,In Transit
2024-07-04,OID10091,CID5498,Footwear,Slippers,South,4,551,COD,Cancelled
2025-04-11,OID10092,CID8628,Clothing,T-shirt,South,4,883,Debit Card,Returned
2024-12-03,OID10093,CID6985,Home Appliances,Refrigerator,South,3,1389,Credit Card,Returned
2025-01-07,OID10094,CID8855,Grocery,Rice,North,2,559,Debit Card,Returned
2024-07-24,OID10095,CID8073,Grocery,Milk,South,3,260,COD,Delivered
2024-02-27,OID10096,CID6972,Electronics,Laptop,West,5,33011,COD,Returned
2025-05-30,OID10097,CID5463,Clothing,T-shirt,East,4,793,UPI,Returned
2024-11-08,OID10098,CID8466,Home Appliances,Mixer,West,2,1812,UPI,Delivered
2025-04-22,OID10099,CID6590,Electronics,Headphones,West,4,41200,UPI,Delivered
2025-03-02,OID10100,CID5693,Electronics,Laptop,West,3,40849,UPI,Cancelled
2025-06-01,OID10101,CID7733,Home Appliances,Microwave,East,5,1290,Debit Card,Cancelled
2024-07-10,OID10102,CID8403,Home Appliances,Mixer,South,1,1241,UPI,Delivered
2025-01-14,OID10103,CID8176,Grocery,Rice,West,4,918,COD,Delivered
2024-08-07,OID10104,CID5286,Home Appliances,Mixer,North,3,846,Net Banking,In Transit
2025-01-08,OID10105,CID9189,Books,Notebook,West,4,1865,UPI,In Transit
2025-01-12,OID10106,CID9288,Grocery,Milk,South,1,1565,Net Banking,Delivered
2024-03-02,OID10107,CID8878,Footwear,Shoes,West,4,491,Net Banking,Delivered
2024-12-03,OID10108,CID7810,Grocery,Milk,West,2,602,COD,Returned
2024-10-23,OID10109,CID5500,Electronics,Smartwatch,East,5,30669,COD,Cancelled
2024-09-20,OID10110,CID8334,Books,Textbook,North,3,237,Credit Card,Delivered
2025-05-26,OID10111,CID9639,Electronics,Smartwatch,East,2,16073,Net Banking,In Transit
2024-09-25,OID10112,CID7155,Clothing,Jeans,North,3,1036,Net Banking,Delivered
2024-07-02,OID10113,CID5954,Grocery,Milk,East,4,887,Net Banking,Cancelled
2024-01-03,OID10114,CID9453,Electronics,Tablet,East,1,49885,UPI,In Transit
2024-08-17,OID10115,CID7567,Footwear,Shoes,West,5,871,UPI,Delivered
2024-09-27,OID10116,CID5136,Clothing,Kurta,East,1,673,UPI,Cancelled
2025-02-10,OID10117,CID7343,Grocery,Milk,South,5,907,COD,Returned
2024-10-01,OID10118,CID7804,Home Appliances,Refrigerator,East,5,373,Debit Card,Returned
2024-07-29,OID10119,CID7472,Electronics,Headphones,North,4,31549,Credit Card,In Transit
2025-03-05,OID10120,CID6784,Clothing,Kurta,North,4,1032,UPI,Delivered
2025-01-27,OID10121,CID6511,Footwear,Shoes,North,5,1412,COD,Delivered
2024-09-20,OID10122,CID8777,Electronics,Mobile,North,2,36334,Net Banking,Cancelled
2024-05-03,OID10123,CID5525,Grocery,Rice,North,5,370,Net Banking,In Transit
2025-04-18,OID10124,CID5745,Grocery,Rice,North,1,1836,Debit Card,Cancelled
2025-02-21,OID10125,CID9872,Footwear,Slippers,North,5,1029,COD,In Transit
2024-12-11,OID10126,CID8840,Grocery,Wheat,North,2,962,Net Banking,Cancelled
2024-05-18,OID10127,CID6226,Clothing,T-shirt,North,1,617,UPI,Returned
2025-02-15,OID10128,CID5200,Clothing,Saree,North,3,881,Credit Card,Cancelled
